答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
1,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 14:57:24,2022-01-30 14:58:00,00分36秒,广西壮族自治区,桂林市,116.1.90.83,Chrome 89.0.4389.72,Android Linux 10
2,,19-29 岁,男,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 15:49:12,2022-01-30 15:50:07,00分55秒,广东省,深圳市,116.24.90.121,ChromiumEdge 97.0.1072.76,Windows 10
3,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 15:57:34,2022-01-30 15:58:22,00分48秒,重庆市,重庆市,117.59.173.67,Chrome 89.0.4389.72,Android Linux 10
4,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:20:03,2022-01-30 16:20:44,00分41秒,,,36.142.185.16,Unknown Browser,iPhone iOS 15.1.1
5,,19-29 岁,男,硕士研究生,2000 元以下,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:23:14,2022-01-30 16:23:55,00分41秒,陕西省,西安市,124.114.126.90,Chrome 89.0.4389.72,Android Linux 9
6,,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:24:19,2022-01-30 16:25:10,00分51秒,浙江省,温州市,220.190.75.130,Unknown Browser,iPhone iOS 14.7.1
7,,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:24:59,2022-01-30 16:25:36,00分37秒,浙江省,温州市,115.234.89.24,Chrome 86.0.4240.99,Android Linux 10
8,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:25:13,2022-01-30 16:25:37,00分24秒,浙江省,温州市,60.180.135.45,Chrome 86.0.4240.99,Android Linux 10
9,,19-29 岁,男,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:25:02,2022-01-30 16:25:47,00分45秒,黑龙江省,哈尔滨市,43.225.208.237,Chrome 77.0.3865.120,Android Linux 10
10,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:26:38,2022-01-30 16:27:40,01分02秒,陕西省,榆林市,36.43.18.203,Chrome 89.0.4389.72,Android Linux 10
11,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:28:20,2022-01-30 16:29:09,00分49秒,广东省,深圳市,223.104.63.6,Chrome 86.0.4240.99,Android Linux 10
12,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,aespa,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:0.0|相关产品的丰富度:59.0|付费价格:41.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:27:01,2022-01-30 16:29:15,02分14秒,广东省,深圳市,223.73.208.182,Unknown Browser,iPhone iOS 15.2.1
13,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:30:08,2022-01-30 16:30:37,00分29秒,广东省,深圳市,117.136.40.198,Unknown Browser,iPhone iOS 14.4.2
14,,19-29 岁,男,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-01-30 16:27:49,2022-01-30 16:30:52,03分03秒,江西省,赣州市,117.136.124.180,Chrome 86.0.4240.99,Android Linux 11
