答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
1,E_307_613e7f871b24251fb8ca84eb_yMDNxETM,30-45 岁,男,高中,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,洛天依,精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,代言品牌,代言品牌,虚拟偶像种类:67.0|相关产品的丰富度:33.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:29:54,2022-02-04 11:32:24,02分30秒,江苏省,南京市,49.93.10.55,Chrome 83.0.4103.106,Android Linux 11
2,E_307_61cc44e833f0c420689cb251_yMDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:30:15,2022-02-04 11:32:46,02分31秒,江苏省,苏州市,58.240.179.68,Chrome 88.0.4324.93,Android Linux 10
3,E_307_6119cef61b242577b2dbe3e9_yMDNxETM,19-29 岁,男,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌|漫画等周边,漫画等周边,虚拟偶像种类:44.0|相关产品的丰富度:29.0|付费价格:15.0|其他:12.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:29:57,2022-02-04 11:33:19,03分22秒,广东省,东莞市,120.235.46.33,ChromiumEdge 97.0.1072.76,Windows 10
4,E_307_6140cf4933f0c40da952ce30_yMDNxETM,30-45 岁,男,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,每月 50 元以下,漫画等周边|线上/线下 演唱会|游戏,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:31:20,2022-02-04 11:33:54,02分34秒,河北省,保定市,27.187.85.107,Chrome 86.0.4240.99,Android Linux 7.1.1
5,E_307_601ea6441b24258f287afb58_yMDNxETM,12-18 岁,男,本科,2000-4999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,代言品牌|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:39.0|相关产品的丰富度:22.0|付费价格:29.0|其他:10.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:31:24,2022-02-04 11:33:56,02分32秒,广东省,东莞市,223.104.66.228,Chrome 88.0.4324.93,Android Linux 10
6,E_307_60641ea933f0c468a7b4b77d_yMDNxETM,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),自由职业者,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:30:31,2022-02-04 11:34:02,03分31秒,江西省,萍乡市,117.136.123.192,Chrome 78.0.3904.62,Android Linux 9
7,E_307_60754b0d1b242520be285f98_yMDNxETM,30-45 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,A-SOUL（嘉然今天吃什么）|柳叶熙,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,漫画等周边,代言品牌|线上/线下 演唱会,虚拟偶像种类:39.0|相关产品的丰富度:17.0|付费价格:20.0|其他:24.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:31:41,2022-02-04 11:34:17,02分36秒,吉林省,,117.136.6.60,Chrome 55.0.2883.91,Android Linux 7.1.1
8,E_307_60e52f171b24255761baaedb_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:31:48,2022-02-04 11:34:18,02分30秒,广东省,广州市,120.230.10.20,Chrome 81.0.4044.138,Android Linux 10
9,E_307_603df0da33f0c4bb32854a6a_yMDNxETM,19-29 岁,女,本科,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:31:35,2022-02-04 11:34:29,02分54秒,江西省,南昌市,118.212.190.209,Chrome 83.0.4103.106,Android Linux 10
10,E_307_61348a0b33f0c44781644e75_yMDNxETM,30-45 岁,女,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),企业管理人员,A-SOUL（嘉然今天吃什么）|aespa,精神寄托|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,漫画等周边,漫画等周边,虚拟偶像种类:52.0|相关产品的丰富度:48.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:32:04,2022-02-04 11:34:32,02分28秒,湖北省,武汉市,117.136.52.134,Unknown Browser,iPhone iOS 15.1
11,E_307_5ffff07033f0c4273de406ce_yMDNxETM,19-29 岁,女,博士研究生及以上,20000 元以上,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:35.0|相关产品的丰富度:30.0|付费价格:23.0|其他:12.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:32:04,2022-02-04 11:34:34,02分30秒,河北省,衡水市,123.180.201.77,Chrome 88.0.4324.93,Android Linux 10
12,E_307_610e07ff1b242516e86d9573_yMDNxETM,30-45 岁,女,硕士研究生,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,初音未来|洛天依|柳叶熙|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,直播打赏|漫画等周边|线上/线下 演唱会,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:13.0|相关产品的丰富度:28.0|付费价格:17.0|其他:42.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:32:16,2022-02-04 11:34:47,02分31秒,山西省,长治市,183.202.32.14,Chrome 88.0.4324.93,Android Linux 10
13,E_307_60dd10611b24255763b74fba_yMDNxETM,12-18 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 到 200 元,代言品牌,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:31:46,2022-02-04 11:34:58,03分12秒,广东省,广州市,103.27.25.76,Chrome 88.0.4324.93,Android Linux 10
14,E_307_614b5ac21b24253e3dd3331d_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,娱乐消费，能够带来快乐|审美需要,花过，501 元到 1000 元,不愿付费,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:32:39,2022-02-04 11:35:11,02分32秒,湖北省,孝感市,117.153.236.92,Chrome 77.0.3865.92,Android Linux 10
15,E_307_6049ac4e33f0c4ab07704384_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:32:46,2022-02-04 11:35:14,02分28秒,北京市,北京市,120.244.191.81,Unknown Browser,iPhone iOS 15.3
16,E_307_60b32fd133f0c4e446d67ba8_yMDNxETM,19-29 岁,女,硕士研究生,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,A-SOUL（嘉然今天吃什么）,精神寄托,花过，200 元以下,每月 50 到 200 元,线上/线下 演唱会,漫画等周边,虚拟偶像种类:18.0|相关产品的丰富度:53.0|付费价格:11.0|其他:18.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:32:50,2022-02-04 11:35:39,02分49秒,江苏省,淮安市,223.104.147.209,Chrome 83.0.4103.106,Android Linux 10
17,E_307_613747b31b2425ef940cbfb8_yMDNxETM,19-29 岁,女,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),个体经营者/承包商,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,代言品牌|漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:33:14,2022-02-04 11:35:43,02分29秒,广东省,河源市,113.75.11.122,Chrome 81.0.4044.138,Android Linux 10
18,E_307_601c05271b24258f2975124c_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:33:26,2022-02-04 11:35:58,02分32秒,黑龙江省,哈尔滨市,42.102.224.48,Chrome 87.0.4280.101,Android Linux 10
19,E_307_600280f233f0c4273ce816b8_yMDNxETM,30-45 岁,女,本科,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,初音未来|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌,直播打赏,虚拟偶像种类:13.0|相关产品的丰富度:27.0|付费价格:20.0|其他:40.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:33:09,2022-02-04 11:36:07,02分58秒,江苏省,南京市,211.90.110.91,Chrome 70.0.3538.25,Windows 10
20,E_307_60f39abd1b24254c434eab2c_yMDNxETM,19-29 岁,女,本科,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,初音未来|洛天依|柳叶熙|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边|游戏,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:36.0|相关产品的丰富度:26.0|付费价格:24.0|其他:14.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:33:16,2022-02-04 11:36:12,02分56秒,广东省,肇庆市,120.239.156.143,Chrome 88.0.4324.93,Android Linux 10
21,E_307_6006f0d833f0c4814ca248c9_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:33:46,2022-02-04 11:36:18,02分32秒,黑龙江省,哈尔滨市,113.5.13.33,Chrome 83.0.4103.101,Android Linux 10
22,E_307_58e44d55611ebf0c640562ec_yMDNxETM,19-29 岁,女,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),自由职业者,A-SOUL（嘉然今天吃什么）|柳叶熙,精神寄托,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:33:08,2022-02-04 11:36:25,03分17秒,广东省,佛山市,113.72.16.189,ChromiumEdge 97.0.1072.76,Windows 10
23,E_307_55ebb360c1a87d621781ccd1_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,直播打赏|代言品牌,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:34:15,2022-02-04 11:36:59,02分44秒,上海市,上海市,101.82.153.160,Unknown Browser,iPhone iOS 15.3
